;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
608;;Dedel;Nicolaus;;Man;;1597;Delft;Nederland;-02 (laatste dag van februari)-1646;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Romeins Recht;9-5-1624;;Instituten;8-7-1624;;Rechtsgeleerdheid;;;Rector Magnificus 1639-1640;Gewoon Hoogleraar;Romeins Recht;9-2-1626;;Instituten. 1640 onderwijs alleen Digesten;;;;laatste dag van Februari-2-1646;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1624-1646. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr. Woordenboek III K. 278.";285815978;;70074844
612;;Dekker;Wisse;;Man;;26-4-1924;Eindhoven;Nederland;25-8-2012;Zoutelande;Nederland;;;;;Buitengewoon Hoogleraar;Bedrijfskunde;16-5-1986;1-9-1986;Internationaal bedrijfsmanagement;6-2-1987;Leiden in last. Nieuwe dimensies van management;Rechtsgeleerdheid;;;"Buitengewoon Hoogleraar van 1986-09-01 t/m 1989-04-30; President-directeur van Philips, 1982-1986";Bijzonder Hoogleraar;;11-1-1988;;;;;Rechtsgeleerdheid;18-5-1990;Einde tijdvak als bijzonder hoogleraar;Bijzonder Hoogleraar vanwege de Stichting Mr. H.P.L.C. de Kruyff-fonds. 1990-05-18 Afscheidscollege: De transnationale onderneming als transferpuntbetekenis van het internationale bedrijfsmanagement;;;;;;;;;;;;;;;;;;;;;;;;;102143;;07429220X
613;;Dekkers;Fredericus;;Man;;23-12-1644;'s-Hertogenbosch;Nederland;3-11-1720;Leiden;Nederland;Promotie;Leiden;1698 / 1700;Dissertatio medica de judicio circa morborum cognitionem, hinc & eorum curationem recte ferendo / Dissertatio botanico-medica de radice gin-sem, seu nisi, et chrysanthemo bidente Zeylanico acmella dictlo;Gewoon Hoogleraar;;15-11-1694;;Praktische Geneeskunde;20-12-1694;;Geneeskunde;1719;Eervol onstlag wegens emeritaat;1697-05-18 : Professor Collegii practico-medici. Rector Magnificus 1700-1701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1694-1719. Hoogleeraar.;"zie: Molhuysen „Bronnen"" IV; - Nieuw Nederl. Biogr. Woordenboek VI K. 278.";1438031;"1581924; 1620812; 1624382; 1623481; 1620354";73738824
614;;Deleeck;Herman Armand Jozef;;Man;;29-8-1928;Borgerhout;België;31-10-2002;Hove (Antwerpen);België;Promotie;Leuven;1966;Maatschappelijke zekerheid en inkomensherverdeling in België (1966);Bijzonder Hoogleraar;;13-8-1985;1-9-198;Sociaal beleid, sociale ongelijkheid en armoede (Cleveringa leerstoel);01 en 1989-9-1985;De ongelijke verdeling der sociale overheidsuitgaven en de armoede en: Bereikt de sociale zekerheid wel haar doel?;"Rechtsgeleerdheid; Sociale Wetenschappen";1-9-1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Cleveringaleerstoel) voor het tijdvak van 1 sept. 1985 tot 1 sept. 1986.
             Sociaal beleid, sociale ongelijkheid en armoede.";;29560240;;68404387
615;;Delmanhorst;Hendrik van;;Man;;1592;Leiden;Nederland;1642;;;;;;;Gewoon Lector;Retorica;27-11-1617;;Rhetorica tot 1622;;;Letteren;1622;;"Gaf van 1603 Oct. 20 lessen in Uitlegkunde van Aristoteles.  
Door Siegenbeek wordt hij eerst „Salomons"" of „Salomonius"" genoemd, omdat hij 
na d dood van zijn vader Salomon van Delmanhorst pas diens naam aannam 
en zich noemde „van Delmast"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(RHETORICA) 1617-1622. Lector.
Gaf van 1603 Oct. 20 lessen in Uitlegkunde van Aristoteles.";"zie: Molhuysen „Bronnen"" I en II; - van der Aa 4; - Nieuw Nederl. Biogr. Woordenboek IV
K. 498.";282379472;;67764029
616;;Dematius;Carolus;;Man;;;Utrecht;Nederland;29-1-1690;Leiden;Nederland;Promotie;Utrecht;1664;;Buitengewoon Hoogleraar;;10-3-1670;;;;;Geneeskunde;;;1669 Febr. 8 : gaf voorlopig lessen voor medici in het Chemisch Laboratorium.;Gewoon Hoogleraar;Scheikunde;15-8-1672;;;;;Wiskunde en Natuurwetenschappen;29-1-1690;Overleden;Was Gewoon Hoogleraar Scheikunde, doch had alleen zitting in de Philosophische Faculteit. 1672-01-22 Gaf tevens experimentele Physica. 1679-01-03Werd ook toegelaten in de Medische Faculteit.;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE, SCHEIKUNDE) 1669-1690. Lector 1669-1670, Hoogleeraar;"zie: Molhuysen „Bronnen'"" III en IV; - Nieuw Nederl. Biogr. Woordenboek I K. 1293.";25676088;;126178550
619;;Derksen;Hans Edi;;Man;;6-2-1926;Renkum;Nederland;28 of 29-6-1969;Leiden;Nederland;Promotie;Leiden;1965;Axon membrane voltage fluctuations;Gewoon Lector;Natuurkunde;5-1-1967;;Fysiologische fysica;14-11-1967;Electrische verschijnselen in het levend organisme;Geneeskunde;28/29-6-1969;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1968/69 blz. 249 en In Mem. 1969/70 blz. 262.;306155140;;06774382X
628;;Dijk;Roelof van;;Man;;2-12-1906;Beilen;Nederland;16-6-1962;Muiden;Nederland;Promotie;Leiden;1948;Samenleving en adatrechtsvorming;Gewoon Lector;"Nederlands-Indië;Staatsrecht";10-10-1945;;Staats- en administratief recht van Nederlands-Indië;;;Rechtsgeleerdheid;29-8-1949;Ontslag op verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;273551554;;73183512
632;;Dijk;Ulbo Johannes van;;Man;;2-12-1911;Hengelo;Nederland;27-8-2009;Oegstgeest;Nederland;;;;;Gewoon Lector;Tandheelkunde;21-2-1951;26-4-1951;Tandheelkunde;30-5-1952;Anaesthesie en tandheelkunde;Geneeskunde;1-4-1977;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;291113710;;68120869
636;;Dijkhuis;Johannes Josephus;;Man;;30-3-1921;Odoorn;Nederland;2011;;;Promotie;Utrecht;1964;De procestheorie van C. R. Rogers: een kritische en methodologische analyse van zijn opvattingen over het proces van de psychotherapie en de interventies van de therapeut;Gewoon Hoogleraar;Psychologie;28-9-1971;1-9-1971;Klinische psychologie en psychotherapie;;;Sociale Wetenschappen;1-8-1984;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215632696;;68179847
638;;Dijksterhuis;Eduard Jan;;Man;;28-10-1892;Tilburg;Nederland;18-5-1965;De Bilt;Nederland;Promotie;Groningen;1918;Bijdragen tot de kennis der meetkunde van het platte schroevenvlak;Buitengewoon Hoogleraar;;5-7-1954;;De Geschiedenis der exacte wetenschappen;21-1-1955;Ad quanta intelligenda condita;Wiskunde en Natuurwetenschappen;5-9-1960;Ontslag op verzoek.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1955 blz. 116 en In Mem. 1965/66 blz. 242.  zie: BWN deel I blz. 159.;19757924;;70528829
641;;Dinger;Johannes Ernst;;Man;;28-12-1892;Nieuwer Amstel;Nederland;18-1-1983;Oegstgeest;Nederland;Promotie;Amsterdam;1918;Bijdrage tot de kennis der schoolmyopie en der emmetropisatie;Gewoon Hoogleraar;Nederlands-Indië;21-2-1947;;Tropische Hygiëne;13-6-1947;De ontwikkeling der Tropische Gezonheidszorg;Geneeskunde;27-2-1962;Ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1947 deel II blz. 13.;286706870;;67848079
642;;Dishoeck;Hendrik Adrianus Ewout van;;Man;;29-5-1897;Leiden;Nederland;12-6-1970;Leiden;Nederland;Promotie;Utrecht;1927;Normalisatie van het mechanogram en electrogram van het alphahart door caesium;Gewoon Hoogleraar;Keel-, Neus- en Oorheelkunde;14-8-1951;;Keel-, Neus- en Oorheelkunde;9-11-1951;Het dubbel leven van de Geest in Spreken en Verstaan;Geneeskunde;11-5-1967;Ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1952 blz. 97 en In Mem. JB LUF 1970 blz. 78.;51471902;;70348286
643;;Dodonaeus (Dodoens);Rembertus;;Man;;29-6-1517;Mechelen;België;10-3-1585;Leiden;Nederland;;;;;Gewoon Hoogleraar;Biologie;15-12-1582;;;;;Geneeskunde;10-3-1585;Overleden;Volgens Resolutie van Curatoren tevens bestemd om les te geven in Physica.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNST) 1582-1585. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I; - J. E. Kroon „Bijdrage tot de Geschiedenis van het Geneeskundig
onderwijs aan de Leidsche Universiteit van 15751625 blz. 95: - H. Veendorp en
L. G. M. Baas Becking in: Hortus Academicus Lugduno Batavus 1587-1937.";17321426;"1624141; 1623954; 1624296; 1619461; 1622884; 1624329; 1624137; 1625853; 1622622; 1887180";70006725
645;;Doeleman;Frans;;Man;;3-3-1918;Rotterdam;Nederland;2-12-2008;Lochem;Nederland;Promotie;Utrecht;1955;De medische geschiedenis van een infanterie-bataljon der Koninklijke Landmacht gedurende drie jaar actieve dienst op Java, 1946-1950;Gewoon Hoogleraar;;19-9-1973;1-12-1973;Sociale geneeskunde;22-2-1974;Met geen Penn te beschrijven;Geneeskunde;1-5-1984;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 72.;67817185;;68748922
647;;Does;Johannes van der;;Man;;30-12-1644;Delft;Nederland;4-4-1704;Gouda;Nederland;;;;;Gewoon Lector;;13-12-1669;;;;;Rechtsgeleerdheid;1679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1669-1679. Lector.;"zie: Molhuysen „Bronnen"" III.";286807146;"1620149; 1624045";121325482
651;;Doeveren;Gualtherus  van;Wouter;Man;;16-11-1730;Philippine;Nederland;31-12-1783;Leiden;Nederland;;;;;Gewoon Hoogleraar;;1-10-1770;;;6-5-1771;;Geneeskunde;31-12-1783;Overleden;1778-06-12 Tevens gemachtigd college te geven in Physiologie.  Rector Magnificus 1778-1779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE, PHYSIOLOGIE) 1770-1783. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI: - Nieuw Nederl. Biogr. Woordenboek IV K. 511.";97776878;"1620278; 1625711; 1625312; 1620199";273411357
652;;Donellus (Doneau);Hugo (Hugues);;Man;;23-12-1527;Châlon sur Saöne;Frankrijk;4-5-1591;Altdorf;Zwitserland;Promotie;Bourges;1551;;Gewoon Hoogleraar;;-1585;27-10-1579;;;;Rechtsgeleerdheid;24-4-1587;Ontslagen wegens deelneming aan verdeeldheden tijdens Leicester en vertrekt naar Altdorf, om hier eveneens hoogleraar rechtsgeschiedenis te worden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1579-1587. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I; - Nieuw Nederl. Biogr. Woordenboek I K 729; - Gustave
Cohen „Erivains francais en Hollande dans la première moitié du XVIIe Siècle"".";2628329;"1623258; 1624147; 1623986; 1623215; 1623509; 1620824; 1622121; 1620938; 1625153";70011125
654;;Donker;Pieter Jacob;;Man;;2-3-1914;Schellinkhout;Nederland;19-2-1999;Leiden;Nederland;Promotie;Amsterdam;1951;Over de behandeling van de perforerende buikverwondingen;Buitengewoon Lector;Urologie;2-4-1962;1-5-1962;Urologie;;;Geneeskunde;;;Herbenoemd 1964-05-01;Buitengewoon Hoogleraar;Urologie;5-8-1965;;Urologie;28-1-1966;Urologische ervaringen;;;;;Gewoon Hoogleraar;;12-4-1979;;;;;Geneeskunde;1-9-1979;Eervol ontslag;"1979-09-21 Afscheidscollege: ""Over kostenbeheersing in de klinische geneeskunde""";;;;;;;;;;;;;zie: 3B der R.U. te Leiden 1966/67 blz. 231.;72682904;;68033648
656;;Dooren;Leonard Johannes;;Man;;28-8-1932;Arnhem;Nederland;25-1-2005;Oegstgeest;Nederland;Promotie;Leiden;1967;Groei en geslachtelijke rijping bij cerebraal defecte kinderen: een onderzoek bij 800 zwakzinnigen;Gewoon Lector;Kindergeneeskunde;27-11-1968;1-1-1969;Kindergeneeskunde;6-10-1970;Omgekeerde isolatie in de kindergeneeskunde;Geneeskunde;;;;Gewoon Hoogleraar;;7-11-1977;;;;;Geneeskunde;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1971 blz. 62.;70478838;1655185;72971266
660;;Doorn;Jacobus Adrianus Antonius van;Jacques;Man;;5-3-1925;Maastricht;Nederland;2008;;;Promotie;Leiden;1956;Een sociologische benadering van het organisatieverschijnsel in het bijzonder gebaseerd op een analyse van de militaire organisatie;Buitengewoon Hoogleraar;Sociologie;4-8-1958;;Industriële sociologie;14-11-1958;Relevantiekaders der industriële sociologie;Rechtsgeleerdheid;5-9-1960;Ontslag op verzoek;Tevens werkzaam bij het Instituut voor Sociaal Onderzoek van het Nederlandse Volk (ISONEVO). Vertrokken naar Erasmusuniversiteit Rotterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1959 blz. 144.;85162551;;68263163
663;;Dorsten;Jan Adrianus van;;Man;;17-5-1933;Piroe;Nederlands-Indië;29-7-1985;Vierakker;Nederland;Promotie;Leiden;1962;Poets, patrons and professors: an outline of some literary connexions between England and the University of Leiden 1575-1586;Gewoon Lector;Engelse Taal- en Letterkunde;8-7-1970;1-8-1970;Engelse letterkunde van de 16e en 17e eeuw in Europese context;25-5-1971;Terug naar de toekomst;Letteren;;;;Gewoon Hoogleraar;Engelse Taal- en Letterkunde;20-12-1979;;Engelse letterkunde van de 16e en 17e eeuw in Europese context;;;;29-7-1985;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1971 blz. 64.;30384;;68543700
666;;Doyer;Derk;;Man;;21-3-1827;Zwolle;Nederland;21-12-1896;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Oogheelkunde;3-6-1869;;Oogheelkunde;2-10-1869;;Geneeskunde;;;Rector Magnificus 1883-1884;Gewoon Hoogleraar;Oogheelkunde;24-1-1877;;Oogheelkunde;;;;17-1-1869;Ontslag op eigen verzoek.;"877 Sept. 15  Tevens onderwijs in Oorheelkunde.
 - 1895 Dec. 1  Ontslag op verzoek, ingaand 1896 Jan. 17.";;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1869-1896. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek IV K. 521.;291830706;;32680630X
668;;Dozy;Reinhart Petrus Anne;Pieter;Man;;21-2-1820;Leiden;Nederland;29-4-1883;Leiden;Nederland;Promotie;Leiden;1844;Dissertatio literaria inauguralis exhibens historiae Abb?d? darum voluminis primi partem priorem;Buitengewoon Hoogleraar;Geschiedenis;2-1-1850;;De Middeleeuwse en Nieuwe Geschiedenis;9-3-1850;;Letteren;;;Wordt na zijn promotie adjutor interpretis legati Warneriani.;Gewoon Hoogleraar;Geschiedenis;24-6-1857;;De Middeleeuwse en Nieuwe Geschiedenis;;;;29-4-1883;Overleden;Rector Magnificus 1868-1869;;;;;;;;;;;;;;;;;;;;;;;(BESPIEGELENDE WIJSBEGEERTE EN LETTEREN) 1850-1883. Hoogleeraar.;;49291633;"1624649; 1581801; 1621510";69094349
671;;Drelincourt (Drelincurtius);Carolus;Charles;Man;;1-2-1633;Parijs;Frankrijk;31-5-1697;Leiden;Nederland;;;;;Gewoon Hoogleraar;;11-7-1668;;;18-2-1669;;Geneeskunde;31-5-1697;Overleden;"03-12-1670  : tevens Anatomie en Pathologische Anatomie.
 - 1671 Jan. Oratie.
 - 1687 Gaf geen Anatomie en Pathologische Anatomie meer.
 - 9 Juli 1692 alleen Medische Instituten. Rector Magnificus 1679-1680; 1688-1689; 1694-1695";;;;;;;1671-01;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1668-1697. Hoogleeraar.;"zie: Molhuysen „Bronnen"" III en IV; - Nieuw Nederl. Biogr. Woordenboek VII K. 384.";50008455;"1277197; 1620887; 1622657";69380996
673;;Dresden;Samuel;Sem;Man;;5-8-1914;Amsterdam;Nederland;6-5-2002;Leiden;Nederland;Promotie;Amsterdam;1941;L'artiste et l'absolu: Paul Valéry et Marcel Proust;Buitengewoon Hoogleraar;Franse Taal- en Letterkunde;30-1-1947;14-3-1974;Moderne Franse Letterkunde;23-5-1947;Moderne Franse Romankunst;Letteren;;;;Gewoon Hoogleraar;"Franse Taal- en Letterkunde;Literatuurwetenschap";23-6-1951;;Moderne Franse Letterkunde. 1961-01-21:  Onderwijsopdracht gewijzigd in: Franse Letterkunde. 1975-08-13: opdracht werkzaam te zijn op het vakgebied Algemene Literatuurwetenschap;;;;2-5-1980;Eervol ontslag wegens emeritaat;"1962-1963 Rectoraat. 1963-02-08 Diesrede: ""Souvenir, een beschouwing over kunst en kitsch.""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1947 deel II blz. 12.;64130524;;68254180
677;;Drewes;Abraham Johannes;;Man;;18-7-1927;Batavia;Nederlands-Indië;19-10-2007;;Nederland;Promotie;Leiden;1962;Inscriptions de l'Éthiopie antique / [publ. en facs. avec introd., transcr., trad. et commentaire;Gewoon Hoogleraar;Oosterse Talen;2-9-1968;1-10-1968;Zuid-Semitische taal- en letterkunde en inleiding tot de Semitische taalkunde;28-2-1969;Erpenius over werkwoorden;Letteren;-2000;Eervol onstlag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1969/1970 blz. 240.;56665009;;89388011
678;;Drewes;Gerardus Willebrordus Joannes;;Man;;28-11-1899;Amsterdam;Nederland;7-6-1992;Noordwijk;Nederland;Promotie;Leiden;1925;Drie Javaansche goeroe's : hun leven, onderricht en messiasprediking;Gewoon Hoogleraar;Aziatische Talen en Culturen;27-9-1938;;Maleise taal- en letterkunde en de algemene taalkunde van de Indische Archipel. 1949-12-13 gewijzigd in: Maleise taal- en letterkunde. 1953-06-19  gewijzigd in: De Instellingen van de Islam;16-4-1948;Van Maleis naar Basa Indonesia;Letteren;8-7-1970;Eervol ontslag wegens emeritaat;1959-08-10  Vakgebied gewijzigd in: De Arabische taal- en letterkunde. Tevens opdracht voor de Islamologie. 1960-10-12  vakgebied gewijzigd in: Arabische taal- en letterkunde en de Islamologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1948 blz. 86.;97781318;;69388520
681;;Drielsma;Henri Abraham;;Man;;16-2-1901;Elst;Nederland;10-6-1982;Heemstede;Nederland;Promotie;Utrecht;1958;De wetsinterpretatie in het fiscale recht en de rechtsbescherming van de Nederlandse staatsburger;Gewoon Lector;Belastingrecht;21-10-1959;1-11-1959;Belastingrecht, betreffende de sucessiebelasting, het registratierecht en het zegelrecht;8-12-1959;Het fiscale aspect van gemengde contracten;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;Belastingrecht;12-8-1964;;Sucessiebelasting, registratie- en zegelrecht en de met deze belastingen samenhangende onderwerpen van burgerlijk recht;8-12-1964;Civiele en fiscale gedachten over optierechten;;2-6-1971;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1965/66 blz 226.;205283032;;67767494
685;;Drion;Jan;;Man;;30-12-1915;Den Haag;Nederland;1-3-1964;Leiden;Nederland;Promotie;Leiden;1950;Administratie contra rechter: tot de intrekking van het Conflictenbesluit;Gewoon Hoogleraar;Burgerlijk Recht;29-7-1950;;Burgerlijk recht en internationaal privaatrecht;3-11-1950;Stare decisis. Het gezag van precedenten;Rechtsgeleerdheid;1-3-1964;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1951 blz. 96 en In Mem. 1964/65 blz. 222.;63783587;1660571;69346569
686;;Drion;Huibert;Huib;Man;;25-4-1917;Den Haag;Nederland;20-4-2014;Leiden;Nederland;Promotie;Leiden;1954;Limitation of liabilities in international air law;Gewoon Hoogleraar;Burgerlijk Recht;4-9-1958;;Burgerlijk Recht;28-11-1958;Aansprakelijkheid voor andermans fouten in verband met de inhoud der verplichtingen;Rechtsgeleerdheid;17-10-1969;Eervol ontslag op verzoek;Vertrokken naar Hoge Raad der Nederlanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1959 blz. 147.;6256410;"1654916; 1655180";68179227
688;;Droogleever Fortuyn;Aemilius Bernardus;;Man;;7-11-1886;Rotterdam;Nederland;13-8-1970;Utrecht;Nederland;Promotie;Amsterdam;1911;De cytoarchitectonie der groote-hersenschors van eenige knaagdieren;Gewoon Lector;Biologie;9-5-1912;;Histologie;25-9-1912;Differentiatie;Geneeskunde;9-4-1927;"Ontslag op verzoek wegens benoeming tot ""associate Professor of Anatomy"" te Peking.";"1925 Verlof voor 2 jaar wegens benoeming tot ""assistant professor of Anatomy"" in Peking.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4716240;;70861099
691;;Droste;Johannes;;Man;;28-5-1886;Grave;Nederland;16-9-1963;Leiden;Nederland;Promotie;Leiden;1916;Het zwaartekrachtsveld van een of meer lichamen volgens de theorie van Einstein;Gewoon Lector;Wiskunde;23-6-1919;;Natuurkunde en Wiskunde;;;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Wiskunde;24-5-1930;;Hoogere Stelkunde, Differentiaal-rekening, Integraalrekening, Theorie der Functiën, Waarschijnlijkheidsberekening. 1947-08-18  Onderwijsopdracht gewijzigd in : Wiskundige analyse, ihb de functietheorie en de differentiaal-vergelijkingen;24-9-1930;De eenheid der Wiskunde;;17-9-1956;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1931 blz. 106 en In Mem. 1964/65 blz. 218. 26 DUBBINK
            - DUIJFJES";306185527;;111754437
694;;Drucker;Hendrik Lodewijk;;Man;;11-8-1857;Amsterdam;Nederland;5-9-1917;Den Haag;Nederland;Promotie;Leiden;1879;Bezitsverkrijging en bezitsverlies door derden;Gewoon Hoogleraar;Romeins Recht;3-8-1889;;Het Romeins Recht en zijn Geschiedenis;28-10-1889;;Rechtsgeleerdheid;10-3-1897;Verslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1889-1897. Hoogleeraar.;"zie o.a.: C. van Vollenhoven in Vragen des Tijds XLIV, 1. 1917-1918; - W. L. P. A. Molengraaff-
in Rechtsgeleerd Magazijn 36, 1917; - B. Symons in Groningsche Volksalmanak 1918.zie: JB der R.U. te Leiden 1898-1899 blz. 39.";73628995;"1582135; 1661494";70213569
697;;Drusius;Johannes;;Man;;28-6-1550;Oudenaarde;Nederland;12-2-1616;Franeker;Nederland;;;;;Gewoon Hoogleraar;Oosterse Talen;20-6-1577;;Hebreeuwse, Chaldeeuwse en Syrische Talen;;;Letteren;-1589;Op eigen verzoek ontslagen wegens vertrek naar Franeker.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(HEBREEUWSCH, CHALDEEUWSCH, SYRISCH) 1577-1584. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I; - Nieuw Nederl. Biogr. Woordenboek I K. 753.  zie: BWPGN II 620-629.";19701373;"1624157; 1620291; 1621826; 1620475";68581025
699;;Dubbeldam;Jacob Leendert;;Man;;1-1-1935;'s-Gravenhage;Nederland;19-11-2014;Leiderdorp;Nederland;Promotie;Leiden;1968;On the shape and the structure of the brainstem in some species of birds: an architectonic study;Gewoon Hoogleraar;Biologie;17-5-1985;1-6-1985;Ethologische morfologie;14-3-1986;Het ongekende brein;Wiskunde en Natuurwetenschappen;1997;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306165271;;71336664
701;;Dubbink;Jan Hendrikus;;Man;;14-8-1910;Zaandijk;Nederland;19-3-2001;Bilthoven;Nederland;Promotie;Nijmegen;1943;Studia Plotiniana : onderzoek naar eenige grondgedachten van het stelsel van Plotinus;Bijzonder Hoogleraar;;15-7-1966;;Metafysica in de geest van de theosofie;17-2-1967;Coëxistentie in de Metafysica;Wijsbegeerte;;;Bijzonder Hoogleraar in de Faculteit der Letteren en de Centrale Interfaculteit, vanwege Stichting Proklos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1966/1967 blz. 228.;56492033;;71660127
704;;Duijfjes;Hendrik Gerard Pieter;;Man;;2-11-1878;Haarlem;Nederland;9-2-1970;Wassenaar;Nederland;Promotie;Groningen;1903;Stellingen ter verkrijging van den graad van Doctor in de rechtswetenschap;Gewoon Hoogleraar;"Burgerlijk Recht;Nederlands-Indië";15-9-1930;;Het Nederlandsch-Indisch Burgerlijk Recht en de historische vorming der hedendaagse rechtsinstellingen;15-10-1930;De Greep der Rechtswetenschap;Rechtsgeleerdheid;19-9-1938;Ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1931 blz. 107.;285950406;1663560;69567867
705;;Duijfjes;Frederik;Freek;Man;;19-4-1918;Treebeek (gem. Heerlen);Nederland;8-12-2013;Oegstgeest;Nederland;Promotie;Leiden;1965;Over antigene werking van heterologe botimplantaten;Buitengewoon Hoogleraar;Orthopedie;5-9-1969;1-10-1969;Orthopedie;;;Geneeskunde;;;1974-12-20  Herbenoemd voor het tijdvak van 1974-09-01 tot 1979-09-01;Gewoon Hoogleraar;;13-5-1977;;;;;Geneeskunde;1-9-1983;Eervol ontslag;Gewoon Hoogleraar geneeskunde ingaand 1977-01-01;;;;;;;;;;;;;;;;;;;;;;;;;288682804;1581901;11252575X
