ID;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie/openbare les II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie/openbare les III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie/openbare les IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
1692;;Meijers;Eduard Maurits;;Man;;1880-01-10;Den Helder;Nederland;1954-06-25;Leiden;Nederland;Promotie;Amsterdam;1903;Dogmatische rechtswetenschap;Gewoon Hoogleraar;Burgerlijk Recht;1910-08-09;;Nederlandsch Burgerlijk Recht en het Internationaal Privaatrecht;1910-11-02;De taak der rechtswetenschap ten aanzien der vrije rechtspraak;Rechtsgeleerdheid;1950-09-18;Ontslag wegens emeritaat;Rector Magnificus 1926-1927. 1940-11-23 Van zijn functie ontheven. 1945-10-24  Herbenoemd te Groningen. 1946-03-18. Correctie van besluit 1945-10-24: Benoeming te Leiden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: In Mem. JB der R.U. te Leiden 1954 blz. 126 en In Mem. JB Mij. der Ned.
            Letterk. 1953/55 blz. 71.";50036759;"1581967; 1666685";068239343
2896;;Lieftinck;Gerard Isaäc;;Man;;1902-08-03;Amsterdam;Nederland;1994-05-09;Deventer;Nederland;Promotie;Amsterdam;1936;De Middelnederlandsche tauler-handschriften;Gewoon Lector;Handschriftenkunde;1948-01-09;;Middeleeuwse handschriftkunde;1948-03-19;Bisschop Bernold (1027-1054) en zijn geschenken aan Utrechtse kerken;Letteren;;;;Gewoon Hoogleraar;Handschriftenkunde;1963-05-01;;Westerse palaeografie en handschriftkunde;1963-11-15;Palaeografie en handschriftenkunde;;1972-03-11;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te leiden 1964/65 blz. 204;2510474;;068940912
2079;;Rooymans;Henricus Gerardus Maria;Harry;Man;;1937-01-28;Amsterdam;Nederland;2013-06-26;Leiden;Nederland;Promotie;Groningen;1969;Oordeel en vooroordeel in psychiatrische diagnostiek;Gewoon Hoogleraar;Psychiatrie;1976-07--08;1976-09-01;Klinische psychiatrie;1977-05-13;Zijn het zenuwen? Over de psychiatrische diagnostiek van lichamelijke klachten;Geneeskunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 51;33400412;1654956;067731988
2083;;Rosenfeld;Léon Jacques Henri Constant;;Man;;1904-08-14;Charleroi;België;1974;;;Promotie;Luik;1926;Sur la théorie électronique du ferromagnétisme;Buitengewoon Hoogleraar;Natuurkunde;1961-07-10;;Theoretische natuurkunde (Lorentz leerstoel);;;Wiskunde en Natuurwetenschappen;1962-06-30;;1962-08-14  Benoeming moet geacht worden te zijn geschied voor het tijdvak van 1961-10-01 t/m 1962-06-30.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7430105;;068436335
2113;;Sagawa;K.;Kiichi;Man;;1926-10-12;Tokio;Japan;1989-08-22;Columbia;USA;Promotie;Tokio;1955;;Gewoon Hoogleraar;Cardiologie;1988-02-08;1988-05-01;Cardiovasculaire fysiologie (Boerhaave leerstoel);;;Geneeskunde;;;Hoogleraar Wiskunde en Natuurwetenschappen voor het tijdvak van 1989-05-01 tot 1989-07-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77770297;;129558230
2205;;Schrieke;Jacobus Johannes;;Man;;1884-10-19;Pijnacker;Nederland;1976-04-15;Ede;Nederland;Promotie;Leiden;1909;De ordonnantie met koninklijke medewerking;Buitengewoon Hoogleraar;Staatsrecht;1935-04-02;;Staats- en Administratief Recht van Nederlandsch-Indië. Suriname en Curacao;1935-05-03;Een nieuw bestek;Rechtsgeleerdheid;1941-07-01;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1935 blz. 73.;29837566;;074513648
2207;;Schudel;Willem Joost;;Man;;1944-07-08;Reading;Verenigd Koninkrijk, Engeland;2018-11-05;Den Haag;Nederland;Promotie;Groningen;1976;Opgenomen ..., opgegeven? : een exploratief onderzoek naar het gebruik van de bedden in psychiatrische ziekenhuizen;Buitengewoon Hoogleraar;Psychiatrie;1980-07-04;1980-10-01;Sociale psychiatrie;1981-10-09;Psychiatrie en on-wel zijn;Geneeskunde;1985-02-01;Eervol ontslag op eigen verzoek;Naar Erasmus Universiteit Rotterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;288026828;;068563361
1868;;Opechowski;Wladyslaw;;Man;;1911-03-10;Warschau;Polen;1993-09-27;Vancouver;Canada;;;;;Buitengewoon Hoogleraar;Natuurkunde;1964-01-28;;Theoretische Natuurkunde (Lorentz leerstoel);;;Wiskunde en Natuurwetenschappen;;;Buitengewoon Hoogleraar Wiskunde en Natuurwetenschappen (Lorentz-leerstoel) voor een nader te bepalen tijdvak. 1964-06-23  Tijdvak bepaald op 1964-10-01 t/m 1965-07-31.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Lorentzleerstoel) voor een nader te bepalen tijdvak.   Theoretische
            Natuurkunde.";;164409394;;072049154
1954;;Poll;Reinhart Adelbert van de;;Man;;1907-05-07;Apeldoorn;Nederland;1978-011-11;Apeldoorn;Nederland;;;;;Buitengewoon Lector;Notarieel Recht;1972-12-19;1972-12-19;Notarieel recht;;;Rechtsgeleerdheid;1977-09-01;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 In Mem. blz. 131.;287620638;;068038585
1955;;Polyander à Kerkhoven;Johannes;;Man;;1568-03-26 of 28;Metz;Frankrijk;1646-02-04;Leiden;Nederland;;;;;Gewoon Hoogleraar;;1611-10;;;;;Godgeleerdheid;1646-02-04;Overleden;"Rector Magnificus 1613-1614; 1617-1619; 1627-1629; 1635-1636; 1640-1641; 1645-1646";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1611-1646. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr. Woordenboek IX K. 815; - Gustave
Cohen „Ecrivains francais en Hollande dans la première moitié du XVIIme Siècle"".";42184299;"1581814; 1581890; 1619892; 1625862; 1624116; 1620050; 1621606; 1625843; 1621422; 1624115; 1624104; 1620195; 1623370; 1623542; 1622357; 1620947; 1624429";068947232
141;;Bemmelen jr.;Jacob Maarten van;;Man;;1898-04-20;Den Haag;Nederland;1982-01-12;Dordrecht;Nederland;Promotie;Groningen;1923;Van zedelijke verbetering tot reclasseering : geschiedenis van het Nederlandsch Genootschap tot Zedelijke Verbetering der Gevangenen 1823-1923;Gewoon Hoogleraar;"Criminologie;Strafrecht";1931-04-07;;Strafrecht en Strafvordering en Criminologie;1931-10-02;De beteekenis van het strafrecht voor den normalen mensch;Rechtsgeleerdheid;1968-09-01;Ontslag wegens emeritaat;1942-05-30  Eervol ontslag op eigen verzoek. 1945-09-04  Herbenoemd. 1953-1954 Recoraat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1932 blz. 110.;79090940;1664365;068183097
1973;;Praag;Jacob Philip van;Jaap;Man;;1911-05-11;Amsterdam;Nederland;1981-04-12;Utrecht;Nederland;Promotie;Amsterdam;1946;Henriëtte Roland Holst : wezen en werk;Bijzonder Hoogleraar;;1964-11-13;;Humanistiek en wijsgerige antropologie van het humanisme;1965-05-21;Wat is Humanistiek?;Letteren;1984-05-04;Eervol ontslag wegens benoeming tot Gewoon Hoogleraar in de economische wetenschappen te Rotterdam;"Bijzonder Hoogleraar Letteren, tevens in de Centrale Interfaculteit, vanwege Stichting Socrates.  1979-11-13 Afscheidsrede: ""Levensovertuiging, filosofie en wetenschap""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1965/66 blz. 231.;27195030;;074556452
832;;Frese;Hermann Heinrich;;Man;;1927-07-02;Amsterdam;Nederland;1975-03-17;Leiden;Nederland;Promotie;Leiden;1960;Anthropology and the public : the role of museums;Gewoon Lector;Andragogiek;1967-08-23;1968-01-01;Theorie en praktijk van het vormingswerk. 1973-11-05 Onderwijsopdracht gewijzigd in: Andragogiek, in het bijzonder met betrekking tot de sociale en culturele vorming van volwassenen;1968-09-24;Vormingswerk en wetenschap;Sociale Wetenschappen;1975-03-17;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1969/70 blz. 246 en 1975-1980 In Mem. blz. 103.;30708851;;071980814
905;;Glastra van Loon;Jan Frederik;;Man;;1920-03-16;Batavia;Nederlands-Indië;2001-10-22;Den Haag;Nederland;Promotie;Leiden;1956;Norm en handeling : bijdrage tot een kentheoretische fundering der sociale wetenschappen;Buitengewoon Hoogleraar;;1958-10-13;;Inleiding tot de rechtswetenschap;1959-10-23;Recht en menselijke natuur;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;;1961-08-31;;Inleiding tot de rechtswetenschap alsmede wijsbegeerte van het recht;;;;1966-02-17;Ontslag op verzoek;;Buitengewoon Hoogleraar;;1966-08-17;;Rechtsfilosofie;;;Rechtsgeleerdheid;1973-05-01;Ontslag op verzoek;Naar Universiteit van Amsterdam;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1960 blz. 149.;79407763;;068413343
554;;Itallie;Leopold van;;Man;;1866-03-12;Maastricht;Nederland;1952-05-02;Heelsum;Nederland;Promotie;Bern;1901;Über den orientalischen und den amerikanischen Styrax (von Liquidambar orientalis und Liquidambar styraciflua);Gewoon Hoogleraar;Farmacie;1907-04-04;;Artsenijbereidkunde en Toxicologie;1907-09-25;De vermeerdering onzer kennis omtrent geneesmiddelen in de 19e eeuw;Wiskunde en Natuurwetenschappen;1936-09-21;Emeritaat;Rector Magnificus 1922-1923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: In Mem. JB der R.U. te Leiden 1952 blz. 104.;26692295;"1887184; 1581884; 1277507; 1278209";070157898
866;;Gelder;Hendrik Douwe van;;Man;;1861-12-10;Bolsward;Nederland;1935-03-16;Den Haag;Nederland;;;;;Gewoon Lector;Oosterse Talen;1890-07-29;;Perzische en Turkse Talen;;;Letteren;;;;Gewoon Lector;Islam;1890-12-24;;Oorsprong en Instellingen van de Islam;;;;1920-10-01;Ontslagen op eigen verzoek.;;;;;;;;;;;;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE) 1890-1920. Lector.;;44683242;;120254093
433;;Chantepie de la Saussaye;Pierre Daniel;;Man;;1848-04-09;Leeuwarden;Nederland;1920-04-20;Bilthoven;Nederland;Promotie;Utrecht;1871;Methodologische bijdrage tot het onderzoek naar den oorsprong van den Godsdienst;Gewoon Hoogleraar;"Bijbelwetenschap;Dogmatiek;Ethiek";1899-06-03;;De encylopedie der Godgeleerdheid, de Geschiedenis der Leer aangaande God en de Zedekunde.;1899-09-22;;Godgeleerdheid;1916-05-01;Ontslag op eigen verzoek, ingaand 1916-09-18.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1899-1916. Hoogleeraar.;zie o.a.: H. M. van Nes in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1920-;74662083;;068823568
434;;Chijs;Pieter Otto van der;;Man;;1802-08-22;Delft;Nederland;1867-11-04;Leiden;Nederland;Promotie;Leiden;1828;Specimen academicum inaugurale exhibens Commentarium geographicum in Arrianum De expeditione Alexandri;Buitengewoon Hoogleraar;;1835;;Penningkunde;;;Letteren;1867;Overleden;Directeur van het Penningkabinet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: Nieuw Nederl. Biogr. Woordenboek IV K. 426.;15116736;;068454627
1714;;Merula;Paulus;;Man;;1558-08-19;Dordrecht;Nederland;1607-07-19;Rostock;Duitsland;;;;;Buitengewoon Hoogleraar;;1592-02-08;;Historiën;;;Letteren;;Rector Magnificus 1602-1603;;Gewoon Hoogleraar;Geschiedenis;1593-10-08;;Historiën;;;Letteren;1607-07-19;Overleden;"1579-02-24 Bibliothecaris; Rector Magnificus 1601-1603";;;;;;;;;;;;;;;;;;;;;;;(HISTORIËN EN BIBLIOTHECARIS) 1592-1607. Hoogleeraar 1592-1607, Bibliothecaris;"zie: Molh'uysen „Bronnen"" 1, - Nieuw Nederl. Biogr. ""Woordenboek II K 902.";76746817;"1624476; 1624860; 1622611; 1625107; 1623341; 1621377; 1619763; 1623824";069110522
2184;;Scholten;Hermannus;;Man;;1726-05-28;Haaksbergen (Overijssel);Nederland;1783-10-10;Leiden;Nederland;;;;;Gewoon Hoogleraar;;1765-01-30;;;1765-06-18;Oratio inauguralis de hominis peccatoris coram Deo justificatione;Godgeleerdheid;1783-10-10;Overleden;Rector Magnificus 1772-1773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1765-1783. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI; - van der Aa 10; - Nieuw Nederl. Biogr. Woordenboek V K. 694.";228744376;"1581839; 1625819; 1621801";067773966
1418;;Kooyman;Eduard Cornelis;;Man;;1916-10-27;Amsterdam;Nederland;1980-03-31;Leiden;Nederland;Promotie;Amsterdam;1946;De mesomerie van het pyridinemolecule;Gewoon Hoogleraar;Scheikunde;1958-07-31;1959-01-01;Organische scheikunde;1959-05-22;De overgangstoestand;Wiskunde en Natuurwetenschappen;1968-11-01;Ontslag op verzoek.;;Buitengewoon Hoogleraar;Scheikunde;1969-05-06;;Organische chemie;;;Wiskunde en Natuurwetenschappen;1971-10-31;;Buitengewoon Hoogleraar Wiskunde en Natuurwetenschappen voor het tijdvak van 1968-11-01 t/m 1971-10-31.;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1959 blz. 145.;289316490;;140600353
1483;;Kubo;Ryogo;;Man;;1920-02-15;Tokio;Japan;1995-04-31;;Japan;Promotie;Tokio;;;Buitengewoon Hoogleraar;Natuurkunde;1981-01-26;1981-04-15;Theoretische natuurkunde (Lorentz leerstoel);;;Wiskunde en Natuurwetenschappen;1981-08-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(Lorentzleerstoel) voor het tijdvak van 15 april 1981 tot 1 aug. 1981 
            Theoretische natuurkunde.";;67671532;;069635226
1244;;Jelgersma;Gerbrandus;;Man;;1859-11-01;Doeveren;Nederland;1942-08-17;Oegstgeest;Nederland;Eredoctoraat;Utrecht;1897;;Gewoon Hoogleraar;Psychiatrie;1899-05-23;;Psychiatrie;1899-09-20;Psychologie en Pathologische Psychologie;Geneeskunde;1930-01-02;Ontslag wegens emeritaat;Rector Magnificus 1913-1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: In Mem. JB der R.U. te Leiden 1946 deel II blz. 55.;213405678;"1581752; 1581813";070059705
1202;;Hulsius;Antonius;;Man;;1615;Hilden;Duitsland;1685-02-15;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Oosterse Talen;1668-08-21;1668-08-23;;;;Letteren;;;1668-07-21 Regent Statencollege. Rector Magnificus 1683-1684;Gewoon Hoogleraar;;1676-01-16;;;;;Godgeleerdheid;1685-02-15;Overleden;Bleef Regent Statencollege en Hoogleeraar Hebreeuwsch.;;;;;;;;;;;;;;;;;;;;;;;"(Statencollege EN GODGELEERDHEID) 1668--1685. Hoogleeraar en Regent
Statencollege.";"zie: Molhuysen „Bronnen"" III en IV; - Nieuw Nederl. Biogr. Woordenboek VIII K. 888.";24611700;"1622084; 1581907";070576904
1976;;Prins;Johannes Jacobus;;Man;;1814-10-09;Langezwaag;Nederland;1898-05-24;Leiden;Nederland;Promotie;Amsterdam;1835;Specimen hermeneutico-theologicum de loco Evangelii Lucae 2:25-35;Gewoon Hoogleraar;"Bijbelwetenschap;Nieuwe Testament";1855-09-10;;De Uitlegging van het Nieuwe Testament en Practische Theologie. 1877 Gaf geen Practische Theologie meer, maar de Inleiding en Kritiek en Hermeneutiek des Nieuwen Testaments en de Oudchristelijke Letterkunde;1856-12-07;;Godgeleerdheid;1885-09-15;Ontslag wegens Emeritaat;Rector Magnificus 1866-1867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1855-1885. Hoogleeraar.;"zie: H. P. Berlage in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1898-1899;
- Nieuw Nederl. Biogr. Woordenboek II K. 1132.";22487020;"1582043; 1620806; 1619507";07025740X
580;;Kleijn;Willem Martien;;Man;;1927-02-08;Den Haag;Nederland;2008-03-04;Den Haag;Nederland;Promotie;Leiden;1969;De boedelscheiding;Gewoon Hoogleraar;"Burgerlijk Recht;Notarieel Recht";1970-05-29;1970-06-01;Notarieel en Burgerlijk Recht;1970-11-20;Quod licet non domino, non licet condomino;Rechtsgeleerdheid;1992-02-21;Ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1971 blz. 55.;65298692;;068294824
583;;Kleynhoff van Enspeyk;Christiaan Frederik;;Man;;1761-03-19;Batavia;Nederlands-Indië;1819-04-05;Leiden;Nederland;Promotie;Leiden;1785;Dissertatio medica inauguralis, de placitis nonnullis tum veterum, tum recentiorum, circa curam peripneumoniae verae;Gewoon Hoogleraar;Landhuishoudkunde;1817;;Landhuishoudkunde;1817-05-10;;Wiskunde en Natuurwetenschappen;1819-04-05;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LANDHUISHOUDKUNDE) 1817-1819. Hoogleeraar.;zie: van der Aa 7.;287767046;;070879710
810;;Fokker;Adriaan Daniël;;Man;;1887-08-17;Buitenzorg;Nederlands-Indië;1972-09-24;Beekbergen;Nederland;Promotie;Leiden;1913;Over Brown'sche bewegingen in het stralingsveld, en waarschijnlijkheids-beschouwingen in de stralingstheorie;Bijzonder Hoogleraar;Natuurkunde;1928;;Natuurkunde;1928-09-26;Natuurkundige concepties van buitennatuurkundig belang;Wiskunde en Natuurwetenschappen;1955-10-01;Ontslag wegens emeritaat;1928 Bijzonder Hoogleraar Wis- en Natuurkunde vanwege Teylers Stichting. 1942 juli 25 Eervol ontslag op eigen verzoek.  1945 okt. 27 Herbenoemd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1929 blz. 133 en In Mem. JB LUF 1973 blz. 75.;115583571;;069448329
1422;;Korff;Frederik Willem Adrianus;;Man;;1887-12-06;Amsterdam;Nederland;1942-10-14;Haarlem;Nederland;Promotie;Groningen;1922;Christelijke religie en historie in de theologie van W. Herrmann;Gewoon Hoogleraar;"Dogmatiek;Ethiek";1932;;De Dogmatiek, Christelijke Ethiek, Zendingswetenschap en Kerkrecht;1932-10-14;De wetenschap des geloofs;Godgeleerdheid;1942-10-14;Overleden.;Hoogleraar vanwege de Nederlandse Hervormde Kerk.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1933 blz. 108 en In Mem. 1946 deel II blz. 54 en JB
            Mij. der Ned. Letterk.";898596;;07502327X
1662;;Martin;Johann Karl Ludwig;;Man;;1851-11-24;Oldenburg;Duitsland;1942-11-14;Leiden;Nederland;Promotie;Göttingen;1873;Ein Beitrag zur Kenntniss fossiler Euganoi͏̈den;Gewoon Hoogleraar;Geologie;1877-09-11;;Geologie, Mineralogie, Kristallografie en Palaeontologie;1877-12-08;Geologische Theroien der Jetztzeit;Wiskunde en Natuurwetenschappen;1922-09-18;Ontslag wegens emeritaat;Rector Magnificus 1895-1896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1946 deel II blz. 55.;22902840;"1277093; 1582037";067660282
2146;;Schadee;Henri;;Man;;1910-09-14;Rotterdam;Nederland;1995;;;;;;;Bijzonder Hoogleraar;Zeerecht;1963-02-08;1963-04-07;Vergelijkend zeerecht;1963-10-11;Het schip en zijn schulden;Rechtsgeleerdheid;1980-09-01;Eervol ontslag wegens emeritaat;Bijzonder Hoogleraar Rechtsgeleerdheid vanwege het Leids Universiteits Fonds.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1964/65 blz. 203.;109645772;1887183;068402783
2210;;Schulte Nordholt;Jan Willem;;Man;;1920-09-12;Zwolle;Nederland;1995-08-16;Wassenaar;Nederland;Promotie;Amsterdam;1951;De tuin der Hesperiden;Gewoon Lector;Geschiedenis;1962-04-02;1963-09-01;Cultuurgeschiedenis van Noord-Amerika;1963-12-03;Een staatsman in het rijk der letteren;Letteren;;;;Gewoon Hoogleraar;Geschiedenis;1966-06-06;;Geschiedenis en cultuur van Noord-Amerika;1966-11-04;Een dichter in de politiek;;1983-09-01;Eervol ontslag op eigen verzoek .;"1983-09-19 Afscheidscollege: ""De historicus tussen verbeelding en werkelijkheid""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 227. 150;22155733;;068235887
2211;;Schultens;Albertus;;Man;;1686-08-22;Groningen;Nederland;1750-01-26;Leiden;Nederland;;;;;Gewoon Hoogleraar;Oosterse Talen;1732-05-05;;;1732-06-19;;Letteren;;;1729-10-05 Regent Statencollege met titel van Doctor Oostersche Talen. Rector Magnificus 1739-1740;Gewoon Hoogleraar;Archeologie;1740-07-12;;Hebreeuwse Oudheden;1740-09-26;;Letteren;1750-01-26;Overleden;1740-07-12 Tevens Hoogleraar Hebreeuwsche Oudheden.;;;;;;;;;;;;;;;;;;;;;;;(Statencollege, OOSTERSCHE TALEN EN HEBREEUWSCHE OUDHEDEN) 1729-;"zie: Molhuysen „Bronnen"" V; - Nieuw Nederl. Biogr Woordenboek V K. 707.";49255221;"1581987; 1622499; 1623796; 1623955; 1621969; 1623878; 1625298; 1623854";070134960
343;;Brugman;Jan;;Man;;1923-05-09;Zaandam;Nederland;2004-09-07;Den Haag;Nederland;Promotie;Leiden;1960;De betekenis van het Mohammedaanse recht in het hedendaagse Egypte;Gewoon Hoogleraar;"Arabische Taal- en Letterkunde;Islam";1960-10-12;1960-11-01;Arabische taal en cultuurgeschiedenis, in het bijzonder, van de nieuwere tijd.;1961-04-28;De Islam en het Arabisch Nationalisme;Letteren;1987-09-01;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1961 blz. 181.;14786438;;069704163
992;;Guépin;Jean-Pierre;;Man;;1929-04-25;Amsterdam;Nederland;2006-02-21;Amsterdam;Leiden;Promotie;Amsterdam;1968;The tragic paradox : myth and ritual in Greek tragedy;Gewoon Lector;Literatuurwetenschap;1971-08-23;1971-09-01;Vergelijkende literatuurwetenschap;1972-02-15;Een voet die niet kan lopen;Letteren;1980-05-01;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1972 blz. 75;49352162;;069567018
995;;Gumbert;Johan Peter;;Man;;1936-01-23;Nijmegen;Nederland;2016-08-18;;;Promotie;Leiden;1972;Die Utrechter Kartäuser und ihre Bücher im frühen fünfzehnten Jahrhundert;Gewoon Lector;Handschriftenkunde;1973-04-09;1973-05-01;Westerse Paleografie en handschriftkunde;1974-03-08;Schrift, codex en tekst. Een rondgang door paleografie en codicologie;Letteren;;;;Gewoon Hoogleraar;Handschriftenkunde;1979-12-20;;Westerse Paleografie en handschriftkunde;;;;2001;Ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 85.;66678318;;070526745
875;;Genechten;Robert van;;Man;;1895-10-25;Antwerpen;België;1945-12-13;Scheveningen;Nederland;Promotie;Utrecht;1927;De ontwikkeling der waardeleer sinds 1870;Bijzonder Hoogleraar;;1941-07-18;;Volkshuishoudkunde;;;Rechtsgeleerdheid;;;Bijzonder Hoogleraar Rechtsgeleerdheid vanwege de Nederlandsche Stichting tot bevordering van de studie van het Nationaalsocialisme.;Gewoon Hoogleraar;Strafrecht;1943-08-04;;Strafrecht en Strafvordering;;;Rechtsgeleerdheid;1945-06-18;Geschorst;;;;;;;;;;;;;;;;;;;;;;;;;;13240287;;069618275
2308;;Snow;Richard Eric;;Man;;1936-06-06;Newark;USA;1997;;;Promotie;Purdue University;1960;Construction and validation of scrambled number tests;Buitengewoon Hoogleraar;Psychologie;1971-04-06;;Onderwijspsychologie (Boerhaave leerstoel);1973-03-30;Educational psychology and medical education;Sociale Wetenschappen;;;Buitengewoon Hoogleraar Geneeskunde (Boerhaave-leerstoel) voor het tijdvak van 1972-09-01 t/m 1973-08-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76447127;;068056710
1515;;Laer;Pierre Henri van;;Man;;1906-07-14;Swalmen;Nederland;1989-02-15;Oegstgeest;Nederland;Promotie;Leiden;1938;Calorische metingen bij tin in verband met de thermodynamica der supergeleiding;Bijzonder Hoogleraar;Geschiedenis der Wijsbegeerte;1946-04-26;1946-04-26;Thomistische wijsbegeerte;1946-10-12;Natuurwetenschap en Thomistische wijsbegeerte;Wijsbegeerte;1976;Ontslag wegens emeritaat;Bijzonder Hoogleraar Wijsbegeerte. Vanwege de Radboudstichting bevoegd verklaard tot het vestigen van een bijzondere leerstoel bij KB van 1925-03-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1947 deel II blz. 9.;53207378;;072552549
1129;;Hofstra;Hendrik Jan;;Man;;1904-09-28;Amsterdam;Nederland;1999-02-16;Wassenaar;Nederland;Doctoraal;Amsterdam;1966;;Gewoon Hoogleraar;Belastingrecht;1966-03-22;1966-10-01;Belastingrecht;1966-10-07;Plaats en taak van de belastingwetenschap;Rechtsgeleerdheid;1975-09-01;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 230.;52951238;;068191324
1130;;Hofstra;Sjoerd;;Man;;1898-01-21;Idzegahuizen;Nederland;1983-04-14;Ossendrecht;Nederland;Promotie;Amsterdam;1933;Differenzierungserscheinungen in einigen afrikanischen Gruppen: ein Beitrag zur Frage der primitiven Individualität;Bijzonder Hoogleraar;Afrikaanse Talen en Culturen;1946-06-13;;Afrikaanse volkenkunde;1947-11-28;Afrikaanse volkenkunde. Problemen, plaats en betekenis;Letteren;1968-02-08;Ontslag wegens emeritaat.;Bijzonder Hoogleraar Letteren en Wijsbegeerte vanwege het Leids Universiteits Fonds.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1948 blz. 83.;31656216;;072324635
